Display Name,Species ID,HP,Attack,Defense,Speed,Sp. Attack,Sp. Defense,Total Stats,Type 1,Type 2,Growth Rate,Evolution Species,Evolution Method,Evolution Level,Enabled
Rattata,RATTATA_ALOLA,30,56,35,72,25,35,253,TYPE_DARK,TYPE_NORMAL,GROWTH_MEDIUM_FAST,RATICATE_ALOLA_TOTEM,EVO_NONE,0,True
Raticate,RATICATE_ALOLA,75,71,70,77,40,80,413,TYPE_DARK,TYPE_NORMAL,GROWTH_MEDIUM_FAST,NONE,NONE,0,True
Spearow,SPEAROW,40,60,34,70,31,35,270,TYPE_NORMAL,TYPE_FLYING,GROWTH_MEDIUM_FAST,FEAROW,EVO_LEVEL,20,False
Fearow,FEAROW,70,100,65,100,65,65,465,TYPE_DARK,TYPE_FLYING,GROWTH_MEDIUM_FAST,NONE,NONE,0,False
Ekans,EKANS,35,60,44,60,40,0,239,TYPE_POISON,TYPE_POISON,GROWTH_MEDIUM_FAST,ARBOK,EVO_LEVEL,22,False
Arbok,ARBOK,60,95,80,80,65,80,460,TYPE_POISON,TYPE_DARK,GROWTH_MEDIUM_FAST,NONE,NONE,0,False
Pichu,PICHU,20,40,15,60,35,35,205,TYPE_ELECTRIC,TYPE_ELECTRIC,GROWTH_MEDIUM_FAST,PIKACHU,EVO_LEVEL,0,True
Pikachu,PIKACHU,35,55,0,90,50,0,230,TYPE_ELECTRIC,TYPE_ELECTRIC,GROWTH_MEDIUM_FAST,RAICHU,EVO_ITEM,ITEM_THUNDER_STONE,True
Raichu,RAICHU,60,90,70,110,90,0,420,TYPE_ELECTRIC,TYPE_ELECTRIC,GROWTH_MEDIUM_FAST,RAICHU_ALOLA,EVO_ITEM,ITEM_LINKING_CORD,True
Raichu,RAICHU_ALOLA,60,85,65,110,95,85,500,TYPE_ELECTRIC,TYPE_PSYCHIC,GROWTH_MEDIUM_FAST,RAICHU,EVO_ITEM,ITEM_LINKING_CORD,True
Sandshrew,SANDSHREW,50,75,85,40,0,30,280,TYPE_GROUND,TYPE_GROUND,GROWTH_MEDIUM_FAST,SANDSLASH,EVO_LEVEL,22,True
Sandshrew,SANDSHREW,50,75,85,40,0,30,280,TYPE_GROUND,TYPE_GROUND,GROWTH_MEDIUM_FAST,SANDSHREW_ALOLA,EVO_ITEM,ITEM_LINKING_CORD,True
Sandslash,SANDSLASH,75,100,110,65,0,55,405,TYPE_GROUND,TYPE_GROUND,GROWTH_MEDIUM_FAST,SANDSLASH_ALOLA,EVO_ITEM,ITEM_LINKING_CORD,True
Sandshrew,SANDSHREW_ALOLA,50,75,90,40,10,35,300,TYPE_ICE,TYPE_STEEL,GROWTH_MEDIUM_FAST,SANDSLASH_ALOLA,EVO_LEVEL,22,True
Sandslash,SANDSLASH_ALOLA,75,100,120,65,25,65,450,TYPE_ICE,TYPE_STEEL,GROWTH_MEDIUM_FAST,SANDSLASH,EVO_ITEM,ITEM_LINKING_CORD,True
Nidoran_f,NIDORAN_F,55,47,52,41,40,40,275,TYPE_POISON,TYPE_POISON,GROWTH_MEDIUM_SLOW,NONE,NONE,0,True
Nidorina,NIDORINA,70,62,67,56,55,55,365,TYPE_POISON,TYPE_POISON,GROWTH_MEDIUM_SLOW,NONE,NONE,0,True
Nidoqueen,NIDOQUEEN,90,92,87,76,75,0,420,TYPE_POISON,TYPE_GROUND,GROWTH_MEDIUM_SLOW,NONE,NONE,0,True
Nidoran_m,NIDORAN_M,46,57,40,50,42,40,275,TYPE_POISON,TYPE_POISON,GROWTH_MEDIUM_SLOW,NONE,NONE,0,True
Nidorino,NIDORINO,61,72,57,65,55,55,365,TYPE_POISON,TYPE_POISON,GROWTH_MEDIUM_SLOW,NONE,NONE,0,True
Nidoking,NIDOKING,81,102,77,85,0,75,420,TYPE_POISON,TYPE_GROUND,GROWTH_MEDIUM_SLOW,NONE,NONE,0,True
Cleffa,CLEFFA,50,25,28,15,45,55,218,UNKNOWN,UNKNOWN,GROWTH_FAST,NONE,NONE,0,True
Clefairy,CLEFAIRY,70,45,48,35,60,0,258,UNKNOWN,UNKNOWN,GROWTH_FAST,NONE,NONE,0,True
Clefable,CLEFABLE,95,70,73,60,0,0,298,UNKNOWN,UNKNOWN,GROWTH_FAST,NONE,NONE,0,True
Vulpix,VULPIX,39,41,40,65,0,65,250,TYPE_FIRE,TYPE_FIRE,GROWTH_MEDIUM_FAST,NINETALES,EVO_ITEM,ITEM_FIRE_STONE,True
Ninetales,NINETALES,73,76,75,100,0,100,424,TYPE_FIRE,TYPE_FIRE,GROWTH_MEDIUM_FAST,NONE,NONE,0,True
Vulpix,VULPIX_ALOLA,39,41,40,65,50,65,300,TYPE_ICE,TYPE_ICE,GROWTH_MEDIUM_FAST,NINETALES_ALOLA,EVO_ITEM,ITEM_ICE_STONE,True
Ninetales,NINETALES_ALOLA,73,67,75,109,81,100,505,TYPE_ICE,TYPE_FAIRY,GROWTH_MEDIUM_FAST,NONE,NONE,0,True
Igglybuff,IGGLYBUFF,90,43,40,15,40,40,268,UNKNOWN,UNKNOWN,GROWTH_FAST,NONE,NONE,0,False
Jigglypuff,JIGGLYPUFF,115,45,20,20,0,25,225,UNKNOWN,UNKNOWN,GROWTH_FAST,NONE,NONE,0,False
Wigglytuff,WIGGLYTUFF,140,70,55,45,95,60,465,UNKNOWN,UNKNOWN,GROWTH_FAST,NONE,NONE,0,False
Zubat,ZUBAT,40,45,35,55,0,40,215,TYPE_POISON,TYPE_FLYING,GROWTH_MEDIUM_FAST,GOLBAT,EVO_LEVEL,22,True
Golbat,GOLBAT,75,80,70,90,0,75,390,TYPE_POISON,TYPE_FLYING,GROWTH_MEDIUM_FAST,CROBAT,EVO_LEVEL,0,True
Crobat,CROBAT,85,90,80,130,70,80,535,TYPE_POISON,TYPE_FLYING,GROWTH_MEDIUM_FAST,NONE,NONE,0,True
Oddish,ODDISH,45,50,55,30,75,0,255,TYPE_GRASS,TYPE_POISON,GROWTH_MEDIUM_SLOW,GLOOM,EVO_LEVEL,21,True
Gloom,GLOOM,60,65,70,40,85,0,320,TYPE_GRASS,TYPE_POISON,GROWTH_MEDIUM_SLOW,VILEPLUME,EVO_ITEM,ITEM_LEAF_STONE,True
Gloom,GLOOM,60,65,70,40,85,0,320,TYPE_GRASS,TYPE_POISON,GROWTH_MEDIUM_SLOW,BELLOSSOM,EVO_ITEM,ITEM_SUN_STONE,True
Vileplume,VILEPLUME,85,80,90,50,110,95,510,TYPE_GRASS,TYPE_POISON,GROWTH_MEDIUM_SLOW,NONE,NONE,0,True
Bellossom,BELLOSSOM,75,80,0,50,90,100,395,TYPE_GRASS,TYPE_GRASS,GROWTH_MEDIUM_SLOW,NONE,NONE,0,True
Paras,PARAS,40,70,60,25,45,60,300,TYPE_BUG,TYPE_GRASS,GROWTH_MEDIUM_FAST,NONE,NONE,0,True
Parasect,PARASECT,80,95,100,30,60,100,465,TYPE_BUG,TYPE_GRASS,GROWTH_MEDIUM_FAST,NONE,NONE,0,True
Venonat,VENONAT,60,55,50,45,40,55,305,TYPE_BUG,TYPE_PSYCHIC,GROWTH_MEDIUM_FAST,NONE,NONE,0,True
Venomoth,VENOMOTH,70,65,60,90,90,75,450,TYPE_BUG,TYPE_PSYCHIC,GROWTH_MEDIUM_FAST,NONE,NONE,0,True
Diglett,DIGLETT,15,65,35,100,35,55,305,TYPE_GROUND,TYPE_GROUND,GROWTH_MEDIUM_FAST,DUGTRIO,EVO_LEVEL,26,False
Dugtrio,DUGTRIO,35,100,50,120,50,75,430,TYPE_GROUND,TYPE_GROUND,GROWTH_MEDIUM_FAST,NONE,NONE,0,False
Diglett,DIGLETT_ALOLA,15,65,40,95,35,55,305,TYPE_GROUND,TYPE_STEEL,GROWTH_MEDIUM_FAST,DUGTRIO_ALOLA,EVO_LEVEL,26,False
Dugtrio,DUGTRIO_ALOLA,35,100,60,110,50,75,430,TYPE_GROUND,TYPE_STEEL,GROWTH_MEDIUM_FAST,NONE,NONE,0,False
Meowth,MEOWTH,40,55,35,90,40,40,300,TYPE_NORMAL,TYPE_NORMAL,GROWTH_MEDIUM_FAST,NONE,NONE,0,False
Persian,PERSIAN,65,80,60,115,65,65,450,TYPE_NORMAL,TYPE_NORMAL,GROWTH_MEDIUM_FAST,NONE,NONE,0,False
Meowth,MEOWTH_ALOLA,40,40,40,90,50,40,300,TYPE_DARK,TYPE_DARK,GROWTH_MEDIUM_FAST,PERSIAN_ALOLA,EVO_LEVEL,0,False
Persian,PERSIAN_ALOLA,65,60,60,115,85,65,450,TYPE_DARK,TYPE_DARK,GROWTH_MEDIUM_FAST,NONE,NONE,0,False
Meowth,MEOWTH_GALAR,50,65,55,40,40,40,290,TYPE_STEEL,TYPE_STEEL,GROWTH_MEDIUM_FAST,PERRSERKER,EVO_LEVEL,28,False
Perrserker,PERRSERKER,70,110,100,50,50,80,460,TYPE_STEEL,TYPE_STEEL,GROWTH_MEDIUM_FAST,NONE,NONE,0,Unknown
Psyduck,PSYDUCK,50,52,48,55,0,50,255,TYPE_WATER,TYPE_PSYCHIC,GROWTH_MEDIUM_FAST,GOLDUCK,EVO_LEVEL,33,True
Golduck,GOLDUCK,80,82,78,85,0,80,405,TYPE_WATER,TYPE_PSYCHIC,GROWTH_MEDIUM_FAST,NONE,NONE,0,True
Mankey,MANKEY,40,80,35,70,35,0,260,TYPE_FIGHTING,TYPE_FIGHTING,GROWTH_MEDIUM_FAST,NONE,NONE,0,True
Primeape,PRIMEAPE,65,105,60,95,60,0,385,TYPE_FIGHTING,TYPE_FIGHTING,GROWTH_MEDIUM_FAST,NONE,NONE,0,True
Annihilape,ANNIHILAPE,110,115,80,90,50,90,535,TYPE_FIGHTING,TYPE_GHOST,GROWTH_MEDIUM_FAST,NONE,NONE,0,True
Growlithe,GROWLITHE,55,70,45,60,0,50,280,TYPE_FIRE,TYPE_FIRE,GROWTH_ERRATIC,ARCANINE,EVO_ITEM,ITEM_FIRE_STONE,True
Growlithe,GROWLITHE,55,70,45,60,0,50,280,TYPE_FIRE,TYPE_FIRE,GROWTH_ERRATIC,GROWLITHE_HISUI,EVO_ITEM,ITEM_LINKING_CORD,True
Arcanine,ARCANINE,90,110,80,95,0,80,455,TYPE_FIRE,TYPE_FIRE,GROWTH_ERRATIC,ARCANINE_HISUI,EVO_ITEM,ITEM_LINKING_CORD,True
Growlithe,GROWLITHE_HISUI,60,75,45,55,65,50,350,TYPE_FIRE,TYPE_ROCK,GROWTH_ERRATIC,ARCANINE_HISUI,EVO_ITEM,ITEM_FIRE_STONE,True
Arcanine,ARCANINE_HISUI,95,115,80,90,95,80,555,TYPE_FIRE,TYPE_ROCK,GROWTH_ERRATIC,ARCANINE,EVO_ITEM,ITEM_LINKING_CORD,True
Poliwag,POLIWAG,40,50,40,90,40,40,300,TYPE_WATER,TYPE_WATER,GROWTH_MEDIUM_SLOW,POLIWHIRL,EVO_LEVEL,25,True
Poliwhirl,POLIWHIRL,65,65,65,90,50,50,385,TYPE_WATER,TYPE_WATER,GROWTH_MEDIUM_SLOW,POLIWRATH,EVO_ITEM,ITEM_WATER_STONE,True
Poliwhirl,POLIWHIRL,65,65,65,90,50,50,385,TYPE_WATER,TYPE_WATER,GROWTH_MEDIUM_SLOW,POLITOED,EVO_ITEM,ITEM_KINGS_ROCK,True
Poliwrath,POLIWRATH,90,95,95,70,70,0,420,TYPE_WATER,TYPE_FIGHTING,GROWTH_MEDIUM_SLOW,NONE,NONE,0,True
Politoed,POLITOED,90,75,75,70,100,100,510,TYPE_WATER,TYPE_WATER,GROWTH_MEDIUM_SLOW,NONE,NONE,0,True
Abra,ABRA,25,20,15,90,105,0,255,TYPE_PSYCHIC,TYPE_PSYCHIC,GROWTH_MEDIUM_SLOW,KADABRA,EVO_LEVEL,16,True
Kadabra,KADABRA,40,35,30,105,120,0,330,TYPE_PSYCHIC,TYPE_PSYCHIC,GROWTH_MEDIUM_SLOW,ALAKAZAM,EVO_LEVEL,42,True
Kadabra,KADABRA,40,35,30,105,120,0,330,TYPE_PSYCHIC,TYPE_PSYCHIC,GROWTH_MEDIUM_SLOW,ALAKAZAM,EVO_ITEM,ITEM_LINKING_CORD,True
Alakazam,ALAKAZAM,55,50,45,120,135,0,405,TYPE_PSYCHIC,TYPE_PSYCHIC,GROWTH_MEDIUM_SLOW,NONE,NONE,0,True
Machop,MACHOP,70,80,50,35,35,35,305,TYPE_FIGHTING,TYPE_FIGHTING,GROWTH_MEDIUM_SLOW,NONE,NONE,0,True
Machoke,MACHOKE,80,100,70,45,50,0,345,TYPE_FIGHTING,TYPE_FIGHTING,GROWTH_MEDIUM_SLOW,NONE,NONE,0,True
Machamp,MACHAMP,100,130,80,55,65,95,525,TYPE_FIGHTING,TYPE_FIGHTING,GROWTH_MEDIUM_SLOW,NONE,NONE,0,True
Bellsprout,BELLSPROUT,50,75,35,40,70,0,270,TYPE_GRASS,TYPE_POISON,GROWTH_MEDIUM_SLOW,WEEPINBELL,EVO_LEVEL,21,True
Weepinbell,WEEPINBELL,65,90,50,55,85,0,345,TYPE_GRASS,TYPE_POISON,GROWTH_MEDIUM_SLOW,VICTREEBEL,EVO_ITEM,ITEM_LEAF_STONE,True
Victreebel,VICTREEBEL,80,115,70,70,110,75,520,TYPE_GRASS,TYPE_POISON,GROWTH_MEDIUM_SLOW,NONE,NONE,0,True
Tentacool,TENTACOOL,40,40,35,70,0,100,285,TYPE_WATER,TYPE_POISON,GROWTH_MEDIUM_FAST,TENTACRUEL,EVO_LEVEL,30,True
Tentacruel,TENTACRUEL,80,70,65,100,0,120,435,TYPE_WATER,TYPE_POISON,GROWTH_MEDIUM_FAST,NONE,NONE,0,True
Geodude,GEODUDE,40,80,100,20,30,30,300,TYPE_ROCK,TYPE_GROUND,GROWTH_MEDIUM_SLOW,GRAVELER,EVO_LEVEL,25,True
Geodude,GEODUDE,40,80,100,20,30,30,300,TYPE_ROCK,TYPE_GROUND,GROWTH_MEDIUM_SLOW,GEODUDE_ALOLA,EVO_ITEM,ITEM_LINKING_CORD,True
Graveler,GRAVELER,55,95,115,35,45,45,390,TYPE_ROCK,TYPE_GROUND,GROWTH_MEDIUM_SLOW,GOLEM,EVO_LEVEL,32,True
Graveler,GRAVELER,55,95,115,35,45,45,390,TYPE_ROCK,TYPE_GROUND,GROWTH_MEDIUM_SLOW,GRAVELER_ALOLA,EVO_ITEM,ITEM_LINKING_CORD,True
Golem,GOLEM,100,110,130,45,55,70,510,TYPE_ROCK,TYPE_GROUND,GROWTH_MEDIUM_SLOW,GOLEM_ALOLA,EVO_ITEM,ITEM_LINKING_CORD,True
Geodude,GEODUDE_ALOLA,40,80,100,20,30,30,300,TYPE_ROCK,TYPE_ELECTRIC,GROWTH_MEDIUM_SLOW,GRAVELER_ALOLA,EVO_LEVEL,25,True
Geodude,GEODUDE_ALOLA,40,80,100,20,30,30,300,TYPE_ROCK,TYPE_ELECTRIC,GROWTH_MEDIUM_SLOW,GEODUDE,EVO_ITEM,ITEM_LINKING_CORD,True
Graveler,GRAVELER_ALOLA,55,95,115,35,45,45,390,TYPE_ROCK,TYPE_ELECTRIC,GROWTH_MEDIUM_SLOW,GOLEM_ALOLA,EVO_LEVEL,32,True
Graveler,GRAVELER_ALOLA,55,95,115,35,45,45,390,TYPE_ROCK,TYPE_ELECTRIC,GROWTH_MEDIUM_SLOW,GRAVELER,EVO_ITEM,ITEM_LINKING_CORD,True
Golem,GOLEM_ALOLA,100,110,130,45,55,70,510,TYPE_ROCK,TYPE_ELECTRIC,GROWTH_MEDIUM_SLOW,GOLEM,EVO_ITEM,ITEM_LINKING_CORD,True
Ponyta,PONYTA,50,85,55,90,65,65,410,TYPE_FIRE,TYPE_FIRE,GROWTH_MEDIUM_FAST,RAPIDASH,EVO_LEVEL,40,True
Rapidash,RAPIDASH,65,100,70,105,80,80,500,TYPE_FIRE,TYPE_FIRE,GROWTH_MEDIUM_FAST,NONE,NONE,0,True
Ponyta,PONYTA_GALAR,50,85,55,90,65,65,410,TYPE_PSYCHIC,TYPE_PSYCHIC,GROWTH_MEDIUM_FAST,RAPIDASH_GALAR,EVO_LEVEL,40,True
Rapidash,RAPIDASH_GALAR,65,100,70,105,80,80,500,TYPE_PSYCHIC,TYPE_FAIRY,GROWTH_MEDIUM_FAST,NONE,NONE,0,True
Slowpoke,SLOWPOKE,90,65,65,15,40,40,315,TYPE_WATER,TYPE_PSYCHIC,GROWTH_MEDIUM_FAST,SLOWBRO,EVO_LEVEL,37,True
Slowpoke,SLOWPOKE,90,65,65,15,40,40,315,TYPE_WATER,TYPE_PSYCHIC,GROWTH_MEDIUM_FAST,SLOWKING,EVO_ITEM,ITEM_KINGS_ROCK,True
Slowpoke,SLOWPOKE,90,65,65,15,40,40,315,TYPE_WATER,TYPE_PSYCHIC,GROWTH_MEDIUM_FAST,SLOWPOKE_GALAR,EVO_ITEM,ITEM_LINKING_CORD,True
Slowbro,SLOWBRO,95,75,110,30,110,90,510,TYPE_WATER,TYPE_PSYCHIC,GROWTH_MEDIUM_FAST,SLOWBRO_GALAR,EVO_ITEM,ITEM_LINKING_CORD,True
Slowking,SLOWKING,95,75,90,30,110,110,510,TYPE_WATER,TYPE_PSYCHIC,GROWTH_MEDIUM_FAST,SLOWKING_GALAR,EVO_ITEM,ITEM_LINKING_CORD,True
Slowpoke,SLOWPOKE_GALAR,90,65,65,15,40,40,315,TYPE_PSYCHIC,TYPE_PSYCHIC,GROWTH_MEDIUM_FAST,SLOWBRO_GALAR,EVO_LEVEL,37,True
Slowpoke,SLOWPOKE_GALAR,90,65,65,15,40,40,315,TYPE_PSYCHIC,TYPE_PSYCHIC,GROWTH_MEDIUM_FAST,SLOWKING_GALAR,EVO_ITEM,ITEM_KINGS_ROCK,True
Slowpoke,SLOWPOKE_GALAR,90,65,65,15,40,40,315,TYPE_PSYCHIC,TYPE_PSYCHIC,GROWTH_MEDIUM_FAST,SLOWPOKE,EVO_ITEM,ITEM_LINKING_CORD,True
Slowbro,SLOWBRO_GALAR,100,105,100,30,105,70,510,TYPE_POISON,TYPE_PSYCHIC,GROWTH_MEDIUM_FAST,SLOWBRO,EVO_ITEM,ITEM_LINKING_CORD,True
Slowking,SLOWKING_GALAR,100,65,85,30,115,115,510,TYPE_POISON,TYPE_PSYCHIC,GROWTH_MEDIUM_FAST,SLOWKING,EVO_ITEM,ITEM_LINKING_CORD,True
Magnemite,MAGNEMITE,25,35,70,45,95,0,270,TYPE_ELECTRIC,TYPE_STEEL,GROWTH_MEDIUM_FAST,MAGNETON,EVO_LEVEL,30,True
Magneton,MAGNETON,60,60,95,70,120,75,480,TYPE_ELECTRIC,TYPE_STEEL,GROWTH_MEDIUM_FAST,MAGNEZONE,EVO_LEVEL,0,True
Magnezone,MAGNEZONE,70,70,115,60,130,100,545,TYPE_ELECTRIC,TYPE_STEEL,GROWTH_MEDIUM_FAST,NONE,NONE,0,True
Farfetch'd,FARFETCHD,52,90,55,60,58,0,315,TYPE_NORMAL,TYPE_FLYING,GROWTH_MEDIUM_FAST,NONE,NONE,0,False
Farfetch'd,FARFETCHD_GALAR,52,95,55,55,58,62,377,TYPE_FIGHTING,TYPE_FIGHTING,GROWTH_MEDIUM_FAST,SIRFETCHD,EVO_BATTLE_END,0,False
Sirfetch'd,SIRFETCHD,62,135,95,65,68,82,507,TYPE_FIGHTING,TYPE_FIGHTING,GROWTH_MEDIUM_FAST,NONE,NONE,0,False
Doduo,DODUO,35,85,45,75,35,35,310,TYPE_NORMAL,TYPE_FLYING,GROWTH_MEDIUM_FAST,DODRIO,EVO_LEVEL,31,True
Dodrio,DODRIO,60,110,70,110,60,60,470,TYPE_FIGHTING,TYPE_FLYING,GROWTH_MEDIUM_FAST,NONE,NONE,0,True
Seel,SEEL,65,45,55,45,0,70,280,TYPE_WATER,TYPE_WATER,GROWTH_MEDIUM_FAST,NONE,NONE,0,False
Dewgong,DEWGONG,90,70,80,70,0,95,405,TYPE_WATER,TYPE_ICE,GROWTH_MEDIUM_FAST,NONE,NONE,0,False
Grimer,GRIMER,80,80,50,25,40,0,275,TYPE_POISON,TYPE_POISON,GROWTH_MEDIUM_FAST,MUK,EVO_LEVEL,38,True
Muk,MUK,105,105,75,50,65,0,400,TYPE_POISON,TYPE_POISON,GROWTH_MEDIUM_FAST,NONE,NONE,0,True
Grimer,GRIMER_ALOLA,80,80,50,25,40,50,325,TYPE_POISON,TYPE_DARK,GROWTH_MEDIUM_FAST,MUK_ALOLA,EVO_LEVEL,38,True
Muk,MUK_ALOLA,105,105,75,50,65,100,500,TYPE_POISON,TYPE_DARK,GROWTH_MEDIUM_FAST,NONE,NONE,0,True
Shellder,SHELLDER,30,65,100,40,45,0,280,TYPE_WATER,TYPE_WATER,GROWTH_ERRATIC,NONE,NONE,0,True
Cloyster,CLOYSTER,50,95,180,70,85,0,480,TYPE_WATER,TYPE_ICE,GROWTH_ERRATIC,NONE,NONE,0,True
Gastly,GASTLY,30,35,30,80,100,0,275,TYPE_GHOST,TYPE_POISON,GROWTH_MEDIUM_SLOW,HAUNTER,EVO_LEVEL,25,True
Haunter,HAUNTER,45,50,45,95,115,0,350,TYPE_GHOST,TYPE_POISON,GROWTH_MEDIUM_SLOW,GENGAR,EVO_LEVEL,42,True
Haunter,HAUNTER,45,50,45,95,115,0,350,TYPE_GHOST,TYPE_POISON,GROWTH_MEDIUM_SLOW,GENGAR,EVO_ITEM,ITEM_LINKING_CORD,True
Gengar,GENGAR,60,65,60,110,130,0,425,TYPE_GHOST,TYPE_POISON,GROWTH_MEDIUM_SLOW,NONE,NONE,0,True
Onix,ONIX,35,45,160,70,30,0,340,TYPE_ROCK,TYPE_GROUND,GROWTH_MEDIUM_FAST,STEELIX,EVO_ITEM,ITEM_METAL_COAT,True
Steelix,STEELIX,75,85,200,30,55,65,510,TYPE_STEEL,TYPE_GROUND,GROWTH_MEDIUM_FAST,NONE,NONE,0,True
Drowzee,DROWZEE,60,48,45,42,0,90,285,TYPE_PSYCHIC,TYPE_PSYCHIC,GROWTH_MEDIUM_FAST,NONE,NONE,0,True
Hypno,HYPNO,85,75,75,70,75,115,495,TYPE_PSYCHIC,TYPE_DARK,GROWTH_MEDIUM_FAST,NONE,NONE,0,True
Krabby,KRABBY,30,105,90,50,25,25,325,TYPE_WATER,TYPE_WATER,GROWTH_MEDIUM_FAST,KINGLER,EVO_LEVEL,28,True
Kingler,KINGLER,65,130,115,75,50,50,485,TYPE_WATER,TYPE_WATER,GROWTH_MEDIUM_FAST,NONE,NONE,0,True
Voltorb,VOLTORB,40,30,50,100,55,55,330,TYPE_ELECTRIC,TYPE_ELECTRIC,GROWTH_MEDIUM_FAST,ELECTRODE,EVO_LEVEL,30,True
Voltorb,VOLTORB,40,30,50,100,55,55,330,TYPE_ELECTRIC,TYPE_ELECTRIC,GROWTH_MEDIUM_FAST,VOLTORB_HISUI,EVO_ITEM,ITEM_LINKING_CORD,True
Electrode,ELECTRODE,60,50,70,0,80,80,340,TYPE_ELECTRIC,TYPE_ELECTRIC,GROWTH_MEDIUM_FAST,ELECTRODE_HISUI,EVO_ITEM,ITEM_LINKING_CORD,True
Voltorb,VOLTORB_HISUI,40,30,50,100,55,55,330,TYPE_ELECTRIC,TYPE_GRASS,GROWTH_MEDIUM_FAST,ELECTRODE_HISUI,EVO_LEVEL,30,True
Voltorb,VOLTORB_HISUI,40,30,50,100,55,55,330,TYPE_ELECTRIC,TYPE_GRASS,GROWTH_MEDIUM_FAST,VOLTORB,EVO_ITEM,ITEM_LINKING_CORD,True
Electrode,ELECTRODE_HISUI,60,50,70,0,80,80,340,TYPE_ELECTRIC,TYPE_GRASS,GROWTH_MEDIUM_FAST,ELECTRODE,EVO_ITEM,ITEM_LINKING_CORD,True
Exeggcute,EXEGGCUTE,60,40,80,40,60,0,280,TYPE_GRASS,TYPE_PSYCHIC,GROWTH_ERRATIC,EXEGGUTOR,EVO_ITEM,ITEM_LEAF_STONE,True
Exeggcute,EXEGGCUTE,60,40,80,40,60,0,280,TYPE_GRASS,TYPE_PSYCHIC,GROWTH_ERRATIC,EXEGGUTOR_ALOLA,EVO_NONE,0,True
