Display Name,Species ID,HP,Attack,Defense,Speed,Sp. Attack,Sp. Defense,Total Stats,Type 1,Type 2,Growth Rate,Evolution Species,Evolution Method,Evolution Level
Beedrill,BEEDRILL,65,0,40,75,45,80,305,TYPE_BUG,TYPE_POISON,GROWTH_MEDIUM_FAST,NONE,NONE,0
Pidgey,PIDGEY,40,45,40,56,35,35,251,TYPE_NORMAL,TYPE_FLYING,GROWTH_MEDIUM_SLOW,PIDGEOTTO,EVO_LEVEL,18
Pidgeotto,PIDGEOTTO,63,60,55,71,50,50,349,TYPE_NORMAL,TYPE_FLYING,GROWTH_MEDIUM_SLOW,PIDGEOT,EVO_LEVEL,36
Pidgeot,PIDGEOT,83,80,75,0,70,70,378,TYPE_NORMAL,TYPE_FLYING,GROWTH_MEDIUM_SLOW,NONE,NONE,0
Rattata,RATTATA,30,56,35,72,25,35,253,TYPE_NORMAL,TYPE_NORMAL,GROWTH_MEDIUM_FAST,RATICATE,EVO_LEVEL,20
Raticate,RATICATE,55,81,60,97,50,70,413,TYPE_NORMAL,TYPE_NORMAL,GROWTH_MEDIUM_FAST,NONE,NONE,0
Rattata,RATTATA_ALOLA,30,56,35,72,25,35,253,TYPE_DARK,TYPE_NORMAL,GROWTH_MEDIUM_FAST,RATICATE_ALOLA,EVO_LEVEL,20
Rattata,RATTATA_ALOLA,30,56,35,72,25,35,253,TYPE_DARK,TYPE_NORMAL,GROWTH_MEDIUM_FAST,RATICATE_ALOLA_TOTEM,EVO_NONE,0
Raticate,RATICATE_ALOLA,75,71,70,77,40,80,413,TYPE_DARK,TYPE_NORMAL,GROWTH_MEDIUM_FAST,NONE,NONE,0
Spearow,SPEAROW,40,60,34,70,31,35,270,TYPE_NORMAL,TYPE_FLYING,GROWTH_MEDIUM_FAST,FEAROW,EVO_LEVEL,20
Fearow,FEAROW,65,90,65,100,61,61,442,TYPE_NORMAL,TYPE_FLYING,GROWTH_MEDIUM_FAST,NONE,NONE,0
Ekans,EKANS,35,60,44,60,40,54,293,TYPE_POISON,TYPE_POISON,GROWTH_MEDIUM_FAST,ARBOK,EVO_LEVEL,22
Arbok,ARBOK,60,0,69,80,65,79,353,TYPE_POISON,TYPE_POISON,GROWTH_MEDIUM_FAST,NONE,NONE,0
Pichu,PICHU,20,40,15,60,35,35,205,TYPE_ELECTRIC,TYPE_ELECTRIC,GROWTH_MEDIUM_FAST,PIKACHU,EVO_FRIENDSHIP,0
Pikachu,PIKACHU,35,55,0,90,50,0,230,TYPE_ELECTRIC,TYPE_ELECTRIC,GROWTH_MEDIUM_FAST,RAICHU,EVO_ITEM,ITEM_THUNDER_STONE
Pikachu,PIKACHU,35,55,0,90,50,0,230,TYPE_ELECTRIC,TYPE_ELECTRIC,GROWTH_MEDIUM_FAST,RAICHU_ALOLA,EVO_NONE,0
Raichu,RAICHU,60,90,55,0,90,80,375,TYPE_ELECTRIC,TYPE_ELECTRIC,GROWTH_MEDIUM_FAST,NONE,NONE,0
Raichu,RAICHU_ALOLA,60,85,50,0,95,85,375,TYPE_ELECTRIC,TYPE_PSYCHIC,GROWTH_MEDIUM_FAST,NONE,NONE,0
Sandshrew,SANDSHREW,50,75,85,40,20,30,300,TYPE_GROUND,TYPE_GROUND,GROWTH_MEDIUM_FAST,SANDSLASH,EVO_LEVEL,22
Sandslash,SANDSLASH,75,100,110,65,45,55,450,TYPE_GROUND,TYPE_GROUND,GROWTH_MEDIUM_FAST,NONE,NONE,0
Sandshrew,SANDSHREW_ALOLA,50,75,90,40,10,35,300,TYPE_ICE,TYPE_STEEL,GROWTH_MEDIUM_FAST,SANDSLASH_ALOLA,EVO_ITEM,ITEM_ICE_STONE
Sandslash,SANDSLASH_ALOLA,75,100,120,65,25,65,450,TYPE_ICE,TYPE_STEEL,GROWTH_MEDIUM_FAST,NONE,NONE,0
Nidoran♀,NIDORAN_F,55,47,52,41,40,40,275,TYPE_POISON,TYPE_POISON,GROWTH_MEDIUM_SLOW,NIDORINA,EVO_LEVEL,16
Nidorina,NIDORINA,70,62,67,56,55,55,365,TYPE_POISON,TYPE_POISON,GROWTH_MEDIUM_SLOW,NIDOQUEEN,EVO_ITEM,ITEM_MOON_STONE
Nidoqueen,NIDOQUEEN,90,0,87,76,75,85,413,TYPE_POISON,TYPE_GROUND,GROWTH_MEDIUM_SLOW,NONE,NONE,0
Nidoran♂,NIDORAN_M,46,57,40,50,42,40,275,TYPE_POISON,TYPE_POISON,GROWTH_MEDIUM_SLOW,NIDORINO,EVO_LEVEL,16
Nidorino,NIDORINO,61,72,57,65,55,55,365,TYPE_POISON,TYPE_POISON,GROWTH_MEDIUM_SLOW,NIDOKING,EVO_ITEM,ITEM_MOON_STONE
Nidoking,NIDOKING,81,0,77,85,85,75,403,TYPE_POISON,TYPE_GROUND,GROWTH_MEDIUM_SLOW,NONE,NONE,0
Cleffa,CLEFFA,50,25,28,15,45,55,218,UNKNOWN,UNKNOWN,GROWTH_FAST,CLEFAIRY,EVO_FRIENDSHIP,0
Clefairy,CLEFAIRY,70,45,48,35,60,65,323,UNKNOWN,UNKNOWN,GROWTH_FAST,CLEFABLE,EVO_ITEM,ITEM_MOON_STONE
Clefable,CLEFABLE,95,70,73,60,0,90,388,UNKNOWN,UNKNOWN,GROWTH_FAST,NONE,NONE,0
Vulpix,VULPIX,39,41,40,65,50,65,300,TYPE_FIRE,TYPE_FIRE,GROWTH_MEDIUM_FAST,NINETALES,EVO_ITEM,ITEM_FIRE_STONE
Ninetales,NINETALES,73,76,75,100,81,100,505,TYPE_FIRE,TYPE_FIRE,GROWTH_MEDIUM_FAST,NONE,NONE,0
Vulpix,VULPIX_ALOLA,38,41,40,65,50,65,299,TYPE_ICE,TYPE_ICE,GROWTH_MEDIUM_FAST,NINETALES_ALOLA,EVO_ITEM,ITEM_ICE_STONE
Ninetales,NINETALES_ALOLA,73,67,75,109,81,100,505,TYPE_ICE,TYPE_FAIRY,GROWTH_MEDIUM_FAST,NONE,NONE,0
Igglybuff,IGGLYBUFF,90,30,20,15,40,20,215,UNKNOWN,UNKNOWN,GROWTH_FAST,JIGGLYPUFF,EVO_FRIENDSHIP,0
Jigglypuff,JIGGLYPUFF,115,45,20,20,45,25,270,UNKNOWN,UNKNOWN,GROWTH_FAST,WIGGLYTUFF,EVO_ITEM,ITEM_MOON_STONE
Wigglytuff,WIGGLYTUFF,140,70,45,45,0,50,350,UNKNOWN,UNKNOWN,GROWTH_FAST,NONE,NONE,0
Zubat,ZUBAT,40,45,35,55,30,40,245,TYPE_POISON,TYPE_FLYING,GROWTH_MEDIUM_FAST,GOLBAT,EVO_LEVEL,22
Golbat,GOLBAT,75,80,70,90,65,75,455,TYPE_POISON,TYPE_FLYING,GROWTH_MEDIUM_FAST,CROBAT,EVO_FRIENDSHIP,0
Crobat,CROBAT,85,90,80,130,70,80,535,TYPE_POISON,TYPE_FLYING,GROWTH_MEDIUM_FAST,NONE,NONE,0
Oddish,ODDISH,45,50,55,30,75,65,320,TYPE_GRASS,TYPE_POISON,GROWTH_MEDIUM_SLOW,GLOOM,EVO_LEVEL,21
Gloom,GLOOM,60,65,70,40,85,75,395,TYPE_GRASS,TYPE_POISON,GROWTH_MEDIUM_SLOW,VILEPLUME,EVO_ITEM,ITEM_LEAF_STONE
Gloom,GLOOM,60,65,70,40,85,75,395,TYPE_GRASS,TYPE_POISON,GROWTH_MEDIUM_SLOW,BELLOSSOM,EVO_ITEM,ITEM_SUN_STONE
Vileplume,VILEPLUME,75,80,85,50,0,90,380,TYPE_GRASS,TYPE_POISON,GROWTH_MEDIUM_SLOW,NONE,NONE,0
Bellossom,BELLOSSOM,75,80,0,50,90,100,395,TYPE_GRASS,TYPE_GRASS,GROWTH_MEDIUM_SLOW,NONE,NONE,0
Paras,PARAS,40,70,55,25,45,55,290,TYPE_BUG,TYPE_GRASS,GROWTH_MEDIUM_FAST,PARASECT,EVO_LEVEL,24
Parasect,PARASECT,60,95,80,30,60,80,405,TYPE_BUG,TYPE_GRASS,GROWTH_MEDIUM_FAST,NONE,NONE,0
Venonat,VENONAT,60,55,50,45,40,55,305,TYPE_BUG,TYPE_POISON,GROWTH_MEDIUM_FAST,VENOMOTH,EVO_LEVEL,31
Venomoth,VENOMOTH,70,65,60,90,90,75,450,TYPE_BUG,TYPE_POISON,GROWTH_MEDIUM_FAST,NONE,NONE,0
Diglett,DIGLETT,10,55,25,95,35,45,265,TYPE_GROUND,TYPE_GROUND,GROWTH_MEDIUM_FAST,DUGTRIO,EVO_LEVEL,26
Dugtrio,DUGTRIO,35,0,50,120,50,70,325,TYPE_GROUND,TYPE_GROUND,GROWTH_MEDIUM_FAST,NONE,NONE,0
Diglett,DIGLETT_ALOLA,10,55,30,90,35,45,265,TYPE_GROUND,TYPE_STEEL,GROWTH_MEDIUM_FAST,DUGTRIO_ALOLA,EVO_LEVEL,26
Dugtrio,DUGTRIO_ALOLA,35,0,60,110,50,70,325,TYPE_GROUND,TYPE_STEEL,GROWTH_MEDIUM_FAST,NONE,NONE,0
Meowth,MEOWTH,40,45,35,90,40,40,290,TYPE_NORMAL,TYPE_NORMAL,GROWTH_MEDIUM_FAST,PERSIAN,EVO_LEVEL,28
Persian,PERSIAN,65,70,60,115,65,65,440,TYPE_NORMAL,TYPE_NORMAL,GROWTH_MEDIUM_FAST,NONE,NONE,0
Meowth,MEOWTH_ALOLA,40,35,35,90,50,40,290,TYPE_DARK,TYPE_DARK,GROWTH_MEDIUM_FAST,PERSIAN_ALOLA,EVO_FRIENDSHIP,0
Persian,PERSIAN_ALOLA,65,60,60,115,75,65,440,TYPE_DARK,TYPE_DARK,GROWTH_MEDIUM_FAST,NONE,NONE,0
Meowth,MEOWTH_GALAR,50,65,55,40,40,40,290,TYPE_STEEL,TYPE_STEEL,GROWTH_MEDIUM_FAST,PERRSERKER,EVO_LEVEL,28
Perrserker,PERRSERKER,70,110,100,50,50,60,440,TYPE_STEEL,TYPE_STEEL,GROWTH_MEDIUM_FAST,NONE,NONE,0
Psyduck,PSYDUCK,50,52,48,55,65,50,320,TYPE_WATER,TYPE_WATER,GROWTH_MEDIUM_FAST,GOLDUCK,EVO_LEVEL,33
Golduck,GOLDUCK,80,82,78,85,95,80,500,TYPE_WATER,TYPE_WATER,GROWTH_MEDIUM_FAST,NONE,NONE,0
Mankey,MANKEY,40,80,35,70,35,45,305,TYPE_FIGHTING,TYPE_FIGHTING,GROWTH_MEDIUM_FAST,PRIMEAPE,EVO_LEVEL,28
Primeape,PRIMEAPE,65,105,60,95,60,70,455,TYPE_FIGHTING,TYPE_FIGHTING,GROWTH_MEDIUM_FAST,ANNIHILAPE,EVO_USE_MOVE_TWENTY_TIMES,MOVE_RAGE_FIST
Annihilape,ANNIHILAPE,110,115,80,90,50,90,535,TYPE_FIGHTING,TYPE_GHOST,GROWTH_MEDIUM_FAST,NONE,NONE,0
Growlithe,GROWLITHE,55,70,45,60,70,50,350,TYPE_FIRE,TYPE_FIRE,GROWTH_SLOW,ARCANINE,EVO_ITEM,ITEM_FIRE_STONE
Arcanine,ARCANINE,90,110,80,95,100,80,555,TYPE_FIRE,TYPE_FIRE,GROWTH_SLOW,NONE,NONE,0
Growlithe,GROWLITHE_HISUI,60,75,45,55,65,50,350,TYPE_FIRE,TYPE_ROCK,GROWTH_SLOW,ARCANINE_HISUI,EVO_ITEM,ITEM_FIRE_STONE
Arcanine,ARCANINE_HISUI,95,115,80,90,95,80,555,TYPE_FIRE,TYPE_ROCK,GROWTH_SLOW,NONE,NONE,0
Poliwag,POLIWAG,40,50,40,90,40,40,300,TYPE_WATER,TYPE_WATER,GROWTH_MEDIUM_SLOW,POLIWHIRL,EVO_LEVEL,25
Poliwhirl,POLIWHIRL,65,65,65,90,50,50,385,TYPE_WATER,TYPE_WATER,GROWTH_MEDIUM_SLOW,POLIWRATH,EVO_ITEM,ITEM_WATER_STONE
Poliwhirl,POLIWHIRL,65,65,65,90,50,50,385,TYPE_WATER,TYPE_WATER,GROWTH_MEDIUM_SLOW,POLITOED,EVO_ITEM,ITEM_KINGS_ROCK
Poliwrath,POLIWRATH,90,0,95,70,70,90,415,TYPE_WATER,TYPE_FIGHTING,GROWTH_MEDIUM_SLOW,NONE,NONE,0
Politoed,POLITOED,90,75,75,70,90,100,500,TYPE_WATER,TYPE_WATER,GROWTH_MEDIUM_SLOW,NONE,NONE,0
Abra,ABRA,25,20,15,90,105,55,310,TYPE_PSYCHIC,TYPE_PSYCHIC,GROWTH_MEDIUM_SLOW,KADABRA,EVO_LEVEL,16
Kadabra,KADABRA,40,35,30,105,120,70,400,TYPE_PSYCHIC,TYPE_PSYCHIC,GROWTH_MEDIUM_SLOW,ALAKAZAM,EVO_LEVEL,42
Kadabra,KADABRA,40,35,30,105,120,70,400,TYPE_PSYCHIC,TYPE_PSYCHIC,GROWTH_MEDIUM_SLOW,ALAKAZAM,EVO_ITEM,ITEM_LINKING_CORD
Alakazam,ALAKAZAM,55,50,45,120,135,0,405,TYPE_PSYCHIC,TYPE_PSYCHIC,GROWTH_MEDIUM_SLOW,NONE,NONE,0
Machop,MACHOP,70,80,50,35,35,35,305,TYPE_FIGHTING,TYPE_FIGHTING,GROWTH_MEDIUM_SLOW,MACHOKE,EVO_LEVEL,28
Machoke,MACHOKE,80,100,70,45,50,60,405,TYPE_FIGHTING,TYPE_FIGHTING,GROWTH_MEDIUM_SLOW,MACHAMP,EVO_LEVEL,38
Machoke,MACHOKE,80,100,70,45,50,60,405,TYPE_FIGHTING,TYPE_FIGHTING,GROWTH_MEDIUM_SLOW,MACHAMP,EVO_ITEM,ITEM_LINKING_CORD
Machamp,MACHAMP,90,130,80,55,65,85,505,TYPE_FIGHTING,TYPE_FIGHTING,GROWTH_MEDIUM_SLOW,NONE,NONE,0
Bellsprout,BELLSPROUT,50,75,35,40,70,30,300,TYPE_GRASS,TYPE_POISON,GROWTH_MEDIUM_SLOW,WEEPINBELL,EVO_LEVEL,21
Weepinbell,WEEPINBELL,65,90,50,55,85,45,390,TYPE_GRASS,TYPE_POISON,GROWTH_MEDIUM_SLOW,VICTREEBEL,EVO_ITEM,ITEM_LEAF_STONE
Victreebel,VICTREEBEL,80,105,65,70,100,0,420,TYPE_GRASS,TYPE_POISON,GROWTH_MEDIUM_SLOW,NONE,NONE,0
Tentacool,TENTACOOL,40,40,35,70,50,100,335,TYPE_WATER,TYPE_POISON,GROWTH_SLOW,TENTACRUEL,EVO_LEVEL,30
Tentacruel,TENTACRUEL,80,70,65,100,80,120,515,TYPE_WATER,TYPE_POISON,GROWTH_SLOW,NONE,NONE,0
Geodude,GEODUDE,40,80,100,20,30,30,300,TYPE_ROCK,TYPE_GROUND,GROWTH_MEDIUM_SLOW,GRAVELER,EVO_LEVEL,25
Graveler,GRAVELER,55,95,115,35,45,45,390,TYPE_ROCK,TYPE_GROUND,GROWTH_MEDIUM_SLOW,GOLEM,EVO_LEVEL,32
Graveler,GRAVELER,55,95,115,35,45,45,390,TYPE_ROCK,TYPE_GROUND,GROWTH_MEDIUM_SLOW,GOLEM,EVO_ITEM,ITEM_LINKING_CORD
Golem,GOLEM,80,0,130,45,55,65,375,TYPE_ROCK,TYPE_GROUND,GROWTH_MEDIUM_SLOW,NONE,NONE,0
Geodude,GEODUDE_ALOLA,40,80,100,20,30,30,300,TYPE_ROCK,TYPE_ELECTRIC,GROWTH_MEDIUM_SLOW,GRAVELER_ALOLA,EVO_LEVEL,25
Graveler,GRAVELER_ALOLA,55,95,115,35,45,45,390,TYPE_ROCK,TYPE_ELECTRIC,GROWTH_MEDIUM_SLOW,GOLEM_ALOLA,EVO_LEVEL,32
Graveler,GRAVELER_ALOLA,55,95,115,35,45,45,390,TYPE_ROCK,TYPE_ELECTRIC,GROWTH_MEDIUM_SLOW,GOLEM_ALOLA,EVO_ITEM,ITEM_LINKING_CORD
Golem,GOLEM_ALOLA,80,0,130,45,55,65,375,TYPE_ROCK,TYPE_ELECTRIC,GROWTH_MEDIUM_SLOW,NONE,NONE,0
Ponyta,PONYTA,50,85,55,90,65,65,410,TYPE_FIRE,TYPE_FIRE,GROWTH_MEDIUM_FAST,RAPIDASH,EVO_LEVEL,40
Rapidash,RAPIDASH,65,100,70,105,80,80,500,TYPE_FIRE,TYPE_FIRE,GROWTH_MEDIUM_FAST,NONE,NONE,0
Ponyta,PONYTA_GALAR,50,85,55,90,65,65,410,TYPE_PSYCHIC,TYPE_PSYCHIC,GROWTH_MEDIUM_FAST,RAPIDASH_GALAR,EVO_LEVEL,40
Rapidash,RAPIDASH_GALAR,65,100,70,105,80,80,500,TYPE_PSYCHIC,TYPE_FAIRY,GROWTH_MEDIUM_FAST,NONE,NONE,0
Slowpoke,SLOWPOKE,90,65,65,15,40,40,315,TYPE_WATER,TYPE_PSYCHIC,GROWTH_MEDIUM_FAST,SLOWBRO,EVO_LEVEL,37
Slowpoke,SLOWPOKE,90,65,65,15,40,40,315,TYPE_WATER,TYPE_PSYCHIC,GROWTH_MEDIUM_FAST,SLOWKING,EVO_ITEM,ITEM_KINGS_ROCK
Slowbro,SLOWBRO,95,75,110,30,100,80,490,TYPE_WATER,TYPE_PSYCHIC,GROWTH_MEDIUM_FAST,NONE,NONE,0
Slowking,SLOWKING,95,75,80,30,100,110,490,TYPE_WATER,TYPE_PSYCHIC,GROWTH_MEDIUM_FAST,NONE,NONE,0
Slowpoke,SLOWPOKE_GALAR,90,65,65,15,40,40,315,TYPE_PSYCHIC,TYPE_PSYCHIC,GROWTH_MEDIUM_FAST,SLOWBRO_GALAR,EVO_ITEM,ITEM_GALARICA_CUFF
Slowpoke,SLOWPOKE_GALAR,90,65,65,15,40,40,315,TYPE_PSYCHIC,TYPE_PSYCHIC,GROWTH_MEDIUM_FAST,SLOWKING_GALAR,EVO_ITEM,ITEM_GALARICA_WREATH
Slowbro,SLOWBRO_GALAR,95,100,95,30,100,70,490,TYPE_POISON,TYPE_PSYCHIC,GROWTH_MEDIUM_FAST,NONE,NONE,0
Slowking,SLOWKING_GALAR,95,65,80,30,110,110,490,TYPE_POISON,TYPE_PSYCHIC,GROWTH_MEDIUM_FAST,NONE,NONE,0
Magnemite,MAGNEMITE,25,35,70,45,95,55,325,TYPE_ELECTRIC,TYPE_STEEL,GROWTH_MEDIUM_FAST,MAGNETON,EVO_LEVEL,30
Magneton,MAGNETON,50,60,95,70,120,70,465,TYPE_ELECTRIC,TYPE_STEEL,GROWTH_MEDIUM_FAST,MAGNEZONE,EVO_MAPSEC,MAPSEC_NEW_MAUVILLE
Magneton,MAGNETON,50,60,95,70,120,70,465,TYPE_ELECTRIC,TYPE_STEEL,GROWTH_MEDIUM_FAST,MAGNEZONE,EVO_ITEM,ITEM_THUNDER_STONE
Magnezone,MAGNEZONE,70,70,115,60,130,90,535,TYPE_ELECTRIC,TYPE_STEEL,GROWTH_MEDIUM_FAST,NONE,NONE,0
Farfetch'd,FARFETCHD,52,0,55,60,58,62,287,TYPE_NORMAL,TYPE_FLYING,GROWTH_MEDIUM_FAST,NONE,NONE,0
Farfetch'd,FARFETCHD_GALAR,52,0,55,55,58,62,282,TYPE_FIGHTING,TYPE_FIGHTING,GROWTH_MEDIUM_FAST,SIRFETCHD,EVO_CRITICAL_HITS,3
Sirfetch'd,SIRFETCHD,62,135,95,65,68,82,507,TYPE_FIGHTING,TYPE_FIGHTING,GROWTH_MEDIUM_FAST,NONE,NONE,0
Doduo,DODUO,35,85,45,75,35,35,310,TYPE_NORMAL,TYPE_FLYING,GROWTH_MEDIUM_FAST,DODRIO,EVO_LEVEL,31
Dodrio,DODRIO,60,110,70,0,60,60,360,TYPE_NORMAL,TYPE_FLYING,GROWTH_MEDIUM_FAST,NONE,NONE,0
Seel,SEEL,65,45,55,45,45,70,325,TYPE_WATER,TYPE_WATER,GROWTH_MEDIUM_FAST,DEWGONG,EVO_LEVEL,34
Dewgong,DEWGONG,90,70,80,70,70,95,475,TYPE_WATER,TYPE_ICE,GROWTH_MEDIUM_FAST,NONE,NONE,0
Grimer,GRIMER,80,80,50,25,40,50,325,TYPE_POISON,TYPE_POISON,GROWTH_MEDIUM_FAST,MUK,EVO_LEVEL,38
Muk,MUK,105,105,75,50,65,100,500,TYPE_POISON,TYPE_POISON,GROWTH_MEDIUM_FAST,NONE,NONE,0
Grimer,GRIMER_ALOLA,80,80,50,25,40,50,325,TYPE_POISON,TYPE_DARK,GROWTH_MEDIUM_FAST,MUK_ALOLA,EVO_LEVEL,38
Muk,MUK_ALOLA,105,105,75,50,65,100,500,TYPE_POISON,TYPE_DARK,GROWTH_MEDIUM_FAST,NONE,NONE,0
Shellder,SHELLDER,30,65,100,40,45,25,305,TYPE_WATER,TYPE_WATER,GROWTH_SLOW,CLOYSTER,EVO_ITEM,ITEM_WATER_STONE
Cloyster,CLOYSTER,50,95,180,70,85,45,525,TYPE_WATER,TYPE_ICE,GROWTH_SLOW,NONE,NONE,0
Gastly,GASTLY,30,35,30,80,100,35,310,TYPE_GHOST,TYPE_POISON,GROWTH_MEDIUM_SLOW,HAUNTER,EVO_LEVEL,25
Haunter,HAUNTER,45,50,45,95,115,55,405,TYPE_GHOST,TYPE_POISON,GROWTH_MEDIUM_SLOW,GENGAR,EVO_LEVEL,42
Haunter,HAUNTER,45,50,45,95,115,55,405,TYPE_GHOST,TYPE_POISON,GROWTH_MEDIUM_SLOW,GENGAR,EVO_ITEM,ITEM_LINKING_CORD
Gengar,GENGAR,60,65,60,110,130,75,500,TYPE_GHOST,TYPE_POISON,GROWTH_MEDIUM_SLOW,NONE,NONE,0
Onix,ONIX,35,45,160,70,30,45,385,TYPE_ROCK,TYPE_GROUND,GROWTH_MEDIUM_FAST,STEELIX,EVO_ITEM,ITEM_METAL_COAT
Steelix,STEELIX,75,85,200,30,55,65,510,TYPE_STEEL,TYPE_GROUND,GROWTH_MEDIUM_FAST,NONE,NONE,0
Drowzee,DROWZEE,60,48,45,42,43,90,328,TYPE_PSYCHIC,TYPE_PSYCHIC,GROWTH_MEDIUM_FAST,HYPNO,EVO_LEVEL,26
Hypno,HYPNO,85,73,70,67,73,115,483,TYPE_PSYCHIC,TYPE_PSYCHIC,GROWTH_MEDIUM_FAST,NONE,NONE,0
Krabby,KRABBY,30,105,90,50,25,25,325,TYPE_WATER,TYPE_WATER,GROWTH_MEDIUM_FAST,KINGLER,EVO_LEVEL,28
Kingler,KINGLER,55,130,115,75,50,50,475,TYPE_WATER,TYPE_WATER,GROWTH_MEDIUM_FAST,NONE,NONE,0
Voltorb,VOLTORB,40,30,50,100,55,55,330,TYPE_ELECTRIC,TYPE_ELECTRIC,GROWTH_MEDIUM_FAST,ELECTRODE,EVO_LEVEL,30
Electrode,ELECTRODE,60,50,70,0,80,80,340,TYPE_ELECTRIC,TYPE_ELECTRIC,GROWTH_MEDIUM_FAST,NONE,NONE,0
Voltorb,VOLTORB_HISUI,40,30,50,100,55,55,330,TYPE_ELECTRIC,TYPE_GRASS,GROWTH_MEDIUM_FAST,ELECTRODE_HISUI,EVO_ITEM,ITEM_LEAF_STONE
Electrode,ELECTRODE_HISUI,60,50,70,0,80,80,340,TYPE_ELECTRIC,TYPE_GRASS,GROWTH_MEDIUM_FAST,NONE,NONE,0
Exeggcute,EXEGGCUTE,60,40,80,40,60,45,325,TYPE_GRASS,TYPE_PSYCHIC,GROWTH_SLOW,EXEGGUTOR,EVO_ITEM,ITEM_LEAF_STONE
Exeggcute,EXEGGCUTE,60,40,80,40,60,45,325,TYPE_GRASS,TYPE_PSYCHIC,GROWTH_SLOW,EXEGGUTOR_ALOLA,EVO_NONE,0
Exeggutor,EXEGGUTOR,95,95,85,55,125,0,455,TYPE_GRASS,TYPE_PSYCHIC,GROWTH_SLOW,NONE,NONE,0
Exeggutor,EXEGGUTOR_ALOLA,95,105,85,45,125,0,455,TYPE_GRASS,TYPE_DRAGON,GROWTH_SLOW,NONE,NONE,0
Cubone,CUBONE,50,50,95,35,40,50,320,TYPE_GROUND,TYPE_GROUND,GROWTH_MEDIUM_FAST,MAROWAK,EVO_LEVEL,28
Cubone,CUBONE,50,50,95,35,40,50,320,TYPE_GROUND,TYPE_GROUND,GROWTH_MEDIUM_FAST,MAROWAK_ALOLA,EVO_NONE,0
Cubone,CUBONE,50,50,95,35,40,50,320,TYPE_GROUND,TYPE_GROUND,GROWTH_MEDIUM_FAST,MAROWAK_ALOLA_TOTEM,EVO_NONE,0
Marowak,MAROWAK,60,80,110,45,50,80,425,TYPE_GROUND,TYPE_GROUND,GROWTH_MEDIUM_FAST,NONE,NONE,0
Marowak,MAROWAK_ALOLA,60,80,110,45,50,80,425,TYPE_FIRE,TYPE_GHOST,GROWTH_MEDIUM_FAST,NONE,NONE,0
Tyrogue,TYROGUE,35,35,35,35,35,35,210,TYPE_FIGHTING,TYPE_FIGHTING,GROWTH_MEDIUM_FAST,HITMONCHAN,EVO_LEVEL_ATK_LT_DEF,20
Tyrogue,TYROGUE,35,35,35,35,35,35,210,TYPE_FIGHTING,TYPE_FIGHTING,GROWTH_MEDIUM_FAST,HITMONLEE,EVO_LEVEL_ATK_GT_DEF,20
Tyrogue,TYROGUE,35,35,35,35,35,35,210,TYPE_FIGHTING,TYPE_FIGHTING,GROWTH_MEDIUM_FAST,HITMONTOP,EVO_LEVEL_ATK_EQ_DEF,20
