Display Name,Species ID,HP,Attack,Defense,Speed,Sp. Attack,Sp. Defense,Total Stats,Type 1,Type 2,Growth Rate,Evolution Species,Evolution Method,Evolution Level,Enabled
Rattata,RATTATA,30,56,35,72,25,0,218,TYPE_NORMAL,TYPE_NORMAL,GROWTH_MEDIUM_FAST,RATTATA_ALOLA,EVO_ITEM,ITEM_LINKING_CORD,TRUE
Raticate,RATICATE,55,81,60,97,50,0,343,TYPE_NORMAL,TYPE_NORMAL,GROWTH_MEDIUM_FAST,RATICATE_ALOLA,EVO_ITEM,ITEM_LINKING_CORD,TRUE
Rattata,RATTATA_ALOLA,30,56,35,72,25,35,253,TYPE_DARK,TYPE_NORMAL,GROWTH_MEDIUM_FAST,RATICATE_ALOLA,EVO_LEVEL,20,TRUE
Rattata,RATTATA_ALOLA,30,56,35,72,25,35,253,TYPE_DARK,TYPE_NORMAL,GROWTH_MEDIUM_FAST,RATTATA,EVO_ITEM,ITEM_LINKING_CORD,TRUE
Raticate,RATICATE_ALOLA,75,71,70,77,40,80,413,TYPE_DARK,TYPE_NORMAL,GROWTH_MEDIUM_FAST,RATICATE,EVO_ITEM,ITEM_LINKING_CORD,TRUE
Spearow,SPEAROW,40,60,34,70,31,35,270,TYPE_NORMAL,TYPE_FLYING,GROWTH_MEDIUM_FAST,FEAROW,EVO_LEVEL,20,FALSE
Fearow,FEAROW,70,100,65,100,65,65,465,TYPE_DARK,TYPE_FLYING,GROWTH_MEDIUM_FAST,NONE,NONE,0,FALSE
Ekans,EKANS,35,60,44,60,40,0,239,TYPE_POISON,TYPE_POISON,GROWTH_MEDIUM_FAST,ARBOK,EVO_LEVEL,22,FALSE
Arbok,ARBOK,60,95,80,80,65,80,460,TYPE_POISON,TYPE_DARK,GROWTH_MEDIUM_FAST,NONE,NONE,0,FALSE
Pichu,PICHU,20,40,15,60,35,35,205,TYPE_ELECTRIC,TYPE_ELECTRIC,GROWTH_MEDIUM_FAST,PIKACHU,EVO_LEVEL,0,TRUE
Pikachu,PIKACHU,35,55,0,90,50,0,230,TYPE_ELECTRIC,TYPE_ELECTRIC,GROWTH_MEDIUM_FAST,RAICHU,EVO_ITEM,ITEM_THUNDER_STONE,TRUE
Raichu,RAICHU,60,90,70,110,90,0,420,TYPE_ELECTRIC,TYPE_ELECTRIC,GROWTH_MEDIUM_FAST,RAICHU_ALOLA,EVO_ITEM,ITEM_LINKING_CORD,TRUE
Raichu,RAICHU_ALOLA,60,85,65,110,95,85,500,TYPE_ELECTRIC,TYPE_PSYCHIC,GROWTH_MEDIUM_FAST,RAICHU,EVO_ITEM,ITEM_LINKING_CORD,TRUE
Sandshrew,SANDSHREW,50,75,85,40,0,30,280,TYPE_GROUND,TYPE_GROUND,GROWTH_MEDIUM_FAST,SANDSLASH,EVO_LEVEL,22,TRUE
Sandshrew,SANDSHREW,50,75,85,40,0,30,280,TYPE_GROUND,TYPE_GROUND,GROWTH_MEDIUM_FAST,SANDSHREW_ALOLA,EVO_ITEM,ITEM_LINKING_CORD,TRUE
Sandslash,SANDSLASH,75,100,110,65,0,55,405,TYPE_GROUND,TYPE_GROUND,GROWTH_MEDIUM_FAST,SANDSLASH_ALOLA,EVO_ITEM,ITEM_LINKING_CORD,TRUE
Sandshrew,SANDSHREW_ALOLA,50,75,90,40,10,35,300,TYPE_ICE,TYPE_STEEL,GROWTH_MEDIUM_FAST,SANDSLASH_ALOLA,EVO_LEVEL,22,TRUE
Sandslash,SANDSLASH_ALOLA,75,100,120,65,25,65,450,TYPE_ICE,TYPE_STEEL,GROWTH_MEDIUM_FAST,SANDSLASH,EVO_ITEM,ITEM_LINKING_CORD,TRUE
Nidoran♀,NIDORAN_F,55,47,52,41,40,40,275,TYPE_POISON,TYPE_POISON,GROWTH_MEDIUM_SLOW,NIDORINA,EVO_LEVEL,16,TRUE
Nidorina,NIDORINA,70,62,67,56,55,55,365,TYPE_POISON,TYPE_POISON,GROWTH_MEDIUM_SLOW,NIDOQUEEN,EVO_ITEM,ITEM_MOON_STONE,TRUE
Nidoqueen,NIDOQUEEN,90,92,87,76,75,0,420,TYPE_POISON,TYPE_GROUND,GROWTH_MEDIUM_SLOW,NONE,NONE,0,TRUE
Nidoran♂,NIDORAN_M,46,57,40,50,42,40,275,TYPE_POISON,TYPE_POISON,GROWTH_MEDIUM_SLOW,NIDORINO,EVO_LEVEL,16,TRUE
Nidorino,NIDORINO,61,72,57,65,55,55,365,TYPE_POISON,TYPE_POISON,GROWTH_MEDIUM_SLOW,NIDOKING,EVO_ITEM,ITEM_MOON_STONE,TRUE
Nidoking,NIDOKING,81,102,77,85,0,75,420,TYPE_POISON,TYPE_GROUND,GROWTH_MEDIUM_SLOW,NONE,NONE,0,TRUE
Cleffa,CLEFFA,50,25,28,15,45,55,218,UNKNOWN,UNKNOWN,GROWTH_FAST,CLEFAIRY,EVO_LEVEL,0,TRUE
Clefairy,CLEFAIRY,70,45,48,35,60,0,258,UNKNOWN,UNKNOWN,GROWTH_FAST,CLEFABLE,EVO_ITEM,ITEM_MOON_STONE,TRUE
Clefable,CLEFABLE,95,70,73,60,0,0,298,UNKNOWN,UNKNOWN,GROWTH_FAST,NONE,NONE,0,TRUE
Vulpix,VULPIX,39,41,40,65,0,65,250,TYPE_FIRE,TYPE_FIRE,GROWTH_MEDIUM_FAST,NINETALES,EVO_ITEM,ITEM_FIRE_STONE,TRUE
Ninetales,NINETALES,73,76,75,100,0,100,424,TYPE_FIRE,TYPE_FIRE,GROWTH_MEDIUM_FAST,NONE,NONE,0,TRUE
Vulpix,VULPIX_ALOLA,39,41,40,65,50,65,300,TYPE_ICE,TYPE_ICE,GROWTH_MEDIUM_FAST,NINETALES_ALOLA,EVO_ITEM,ITEM_ICE_STONE,TRUE
Ninetales,NINETALES_ALOLA,73,67,75,109,81,100,505,TYPE_ICE,TYPE_FAIRY,GROWTH_MEDIUM_FAST,NONE,NONE,0,TRUE
Igglybuff,IGGLYBUFF,90,43,40,15,40,40,268,UNKNOWN,UNKNOWN,GROWTH_FAST,JIGGLYPUFF,EVO_LEVEL,0,FALSE
Jigglypuff,JIGGLYPUFF,115,45,20,20,0,25,225,UNKNOWN,UNKNOWN,GROWTH_FAST,WIGGLYTUFF,EVO_ITEM,ITEM_MOON_STONE,FALSE
Wigglytuff,WIGGLYTUFF,140,70,55,45,95,60,465,UNKNOWN,UNKNOWN,GROWTH_FAST,NONE,NONE,0,FALSE
Zubat,ZUBAT,40,45,35,55,0,40,215,TYPE_POISON,TYPE_FLYING,GROWTH_MEDIUM_FAST,GOLBAT,EVO_LEVEL,22,TRUE
Golbat,GOLBAT,75,80,70,90,0,75,390,TYPE_POISON,TYPE_FLYING,GROWTH_MEDIUM_FAST,CROBAT,EVO_LEVEL,0,TRUE
Crobat,CROBAT,85,90,80,130,70,80,535,TYPE_POISON,TYPE_FLYING,GROWTH_MEDIUM_FAST,NONE,NONE,0,TRUE
Oddish,ODDISH,45,50,55,30,75,0,255,TYPE_GRASS,TYPE_POISON,GROWTH_MEDIUM_SLOW,GLOOM,EVO_LEVEL,21,TRUE
Gloom,GLOOM,60,65,70,40,85,0,320,TYPE_GRASS,TYPE_POISON,GROWTH_MEDIUM_SLOW,VILEPLUME,EVO_ITEM,ITEM_LEAF_STONE,TRUE
Gloom,GLOOM,60,65,70,40,85,0,320,TYPE_GRASS,TYPE_POISON,GROWTH_MEDIUM_SLOW,BELLOSSOM,EVO_ITEM,ITEM_SUN_STONE,TRUE
Vileplume,VILEPLUME,85,80,90,50,110,95,510,TYPE_GRASS,TYPE_POISON,GROWTH_MEDIUM_SLOW,NONE,NONE,0,TRUE
Bellossom,BELLOSSOM,75,80,0,50,90,100,395,TYPE_GRASS,TYPE_GRASS,GROWTH_MEDIUM_SLOW,NONE,NONE,0,TRUE
Paras,PARAS,40,70,60,25,45,60,300,TYPE_BUG,TYPE_GRASS,GROWTH_MEDIUM_FAST,PARASECT,EVO_LEVEL,24,TRUE
Parasect,PARASECT,80,95,100,30,60,100,465,TYPE_BUG,TYPE_GRASS,GROWTH_MEDIUM_FAST,NONE,NONE,0,TRUE
Venonat,VENONAT,60,55,50,45,40,55,305,TYPE_BUG,TYPE_PSYCHIC,GROWTH_MEDIUM_FAST,VENOMOTH,EVO_LEVEL,31,TRUE
Venomoth,VENOMOTH,70,65,60,90,90,75,450,TYPE_BUG,TYPE_PSYCHIC,GROWTH_MEDIUM_FAST,NONE,NONE,0,TRUE
Diglett,DIGLETT,15,65,35,100,35,55,305,TYPE_GROUND,TYPE_GROUND,GROWTH_MEDIUM_FAST,DUGTRIO,EVO_LEVEL,26,FALSE
Dugtrio,DUGTRIO,35,100,50,120,50,75,430,TYPE_GROUND,TYPE_GROUND,GROWTH_MEDIUM_FAST,NONE,NONE,0,FALSE
Diglett,DIGLETT_ALOLA,15,65,40,95,35,55,305,TYPE_GROUND,TYPE_STEEL,GROWTH_MEDIUM_FAST,DUGTRIO_ALOLA,EVO_LEVEL,26,FALSE
Dugtrio,DUGTRIO_ALOLA,35,100,60,110,50,75,430,TYPE_GROUND,TYPE_STEEL,GROWTH_MEDIUM_FAST,NONE,NONE,0,FALSE
Meowth,MEOWTH,40,55,35,90,40,40,300,TYPE_NORMAL,TYPE_NORMAL,GROWTH_MEDIUM_FAST,PERSIAN,EVO_LEVEL,28,FALSE
Persian,PERSIAN,65,80,60,115,65,65,450,TYPE_NORMAL,TYPE_NORMAL,GROWTH_MEDIUM_FAST,NONE,NONE,0,FALSE
Meowth,MEOWTH_ALOLA,40,40,40,90,50,40,300,TYPE_DARK,TYPE_DARK,GROWTH_MEDIUM_FAST,PERSIAN_ALOLA,EVO_LEVEL,0,FALSE
Persian,PERSIAN_ALOLA,65,60,60,115,85,65,450,TYPE_DARK,TYPE_DARK,GROWTH_MEDIUM_FAST,NONE,NONE,0,FALSE
Meowth,MEOWTH_GALAR,50,65,55,40,40,40,290,TYPE_STEEL,TYPE_STEEL,GROWTH_MEDIUM_FAST,PERRSERKER,EVO_LEVEL,28,FALSE
Perrserker,PERRSERKER,70,110,100,50,50,80,460,TYPE_STEEL,TYPE_STEEL,GROWTH_MEDIUM_FAST,NONE,NONE,0,Unknown
Psyduck,PSYDUCK,50,52,48,55,0,50,255,TYPE_WATER,TYPE_PSYCHIC,GROWTH_MEDIUM_FAST,GOLDUCK,EVO_LEVEL,33,TRUE
Golduck,GOLDUCK,80,82,78,85,0,80,405,TYPE_WATER,TYPE_PSYCHIC,GROWTH_MEDIUM_FAST,NONE,NONE,0,TRUE
Mankey,MANKEY,40,80,35,70,35,0,260,TYPE_FIGHTING,TYPE_FIGHTING,GROWTH_MEDIUM_FAST,PRIMEAPE,EVO_LEVEL,28,TRUE
Primeape,PRIMEAPE,65,105,60,95,60,0,385,TYPE_FIGHTING,TYPE_FIGHTING,GROWTH_MEDIUM_FAST,ANNIHILAPE,EVO_ITEM,ITEM_MOON_STONE,TRUE
Annihilape,ANNIHILAPE,110,115,80,90,50,90,535,TYPE_FIGHTING,TYPE_GHOST,GROWTH_MEDIUM_FAST,NONE,NONE,0,TRUE
Growlithe,GROWLITHE,55,70,45,60,0,50,280,TYPE_FIRE,TYPE_FIRE,GROWTH_ERRATIC,ARCANINE,EVO_ITEM,ITEM_FIRE_STONE,TRUE
Growlithe,GROWLITHE,55,70,45,60,0,50,280,TYPE_FIRE,TYPE_FIRE,GROWTH_ERRATIC,GROWLITHE_HISUI,EVO_ITEM,ITEM_LINKING_CORD,TRUE
Arcanine,ARCANINE,90,110,80,95,0,80,455,TYPE_FIRE,TYPE_FIRE,GROWTH_ERRATIC,ARCANINE_HISUI,EVO_ITEM,ITEM_LINKING_CORD,TRUE
Growlithe,GROWLITHE_HISUI,60,75,45,55,65,50,350,TYPE_FIRE,TYPE_ROCK,GROWTH_ERRATIC,ARCANINE_HISUI,EVO_ITEM,ITEM_FIRE_STONE,TRUE
Arcanine,ARCANINE_HISUI,95,115,80,90,95,80,555,TYPE_FIRE,TYPE_ROCK,GROWTH_ERRATIC,ARCANINE,EVO_ITEM,ITEM_LINKING_CORD,TRUE
Poliwag,POLIWAG,40,50,40,90,40,40,300,TYPE_WATER,TYPE_WATER,GROWTH_MEDIUM_SLOW,POLIWHIRL,EVO_LEVEL,25,TRUE
Poliwhirl,POLIWHIRL,65,65,65,90,50,50,385,TYPE_WATER,TYPE_WATER,GROWTH_MEDIUM_SLOW,POLIWRATH,EVO_ITEM,ITEM_WATER_STONE,TRUE
Poliwhirl,POLIWHIRL,65,65,65,90,50,50,385,TYPE_WATER,TYPE_WATER,GROWTH_MEDIUM_SLOW,POLITOED,EVO_ITEM,ITEM_KINGS_ROCK,TRUE
Poliwrath,POLIWRATH,90,95,95,70,70,0,420,TYPE_WATER,TYPE_FIGHTING,GROWTH_MEDIUM_SLOW,NONE,NONE,0,TRUE
Politoed,POLITOED,90,75,75,70,100,100,510,TYPE_WATER,TYPE_WATER,GROWTH_MEDIUM_SLOW,NONE,NONE,0,TRUE
Abra,ABRA,25,20,15,90,105,0,255,TYPE_PSYCHIC,TYPE_PSYCHIC,GROWTH_MEDIUM_SLOW,KADABRA,EVO_LEVEL,16,TRUE
Kadabra,KADABRA,40,35,30,105,120,0,330,TYPE_PSYCHIC,TYPE_PSYCHIC,GROWTH_MEDIUM_SLOW,ALAKAZAM,EVO_LEVEL,42,TRUE
Kadabra,KADABRA,40,35,30,105,120,0,330,TYPE_PSYCHIC,TYPE_PSYCHIC,GROWTH_MEDIUM_SLOW,ALAKAZAM,EVO_ITEM,ITEM_LINKING_CORD,TRUE
Alakazam,ALAKAZAM,55,50,45,120,135,0,405,TYPE_PSYCHIC,TYPE_PSYCHIC,GROWTH_MEDIUM_SLOW,NONE,NONE,0,TRUE
Machop,MACHOP,70,80,50,35,35,35,305,TYPE_FIGHTING,TYPE_FIGHTING,GROWTH_MEDIUM_SLOW,MACHOKE,EVO_LEVEL,28,TRUE
Machoke,MACHOKE,80,100,70,45,50,0,345,TYPE_FIGHTING,TYPE_FIGHTING,GROWTH_MEDIUM_SLOW,MACHAMP,EVO_LEVEL,38,TRUE
Machoke,MACHOKE,80,100,70,45,50,0,345,TYPE_FIGHTING,TYPE_FIGHTING,GROWTH_MEDIUM_SLOW,MACHAMP,EVO_ITEM,ITEM_LINKING_CORD,TRUE
Machamp,MACHAMP,100,130,80,55,65,95,525,TYPE_FIGHTING,TYPE_FIGHTING,GROWTH_MEDIUM_SLOW,NONE,NONE,0,TRUE
Bellsprout,BELLSPROUT,50,75,35,40,70,0,270,TYPE_GRASS,TYPE_POISON,GROWTH_MEDIUM_SLOW,WEEPINBELL,EVO_LEVEL,21,TRUE
Weepinbell,WEEPINBELL,65,90,50,55,85,0,345,TYPE_GRASS,TYPE_POISON,GROWTH_MEDIUM_SLOW,VICTREEBEL,EVO_ITEM,ITEM_LEAF_STONE,TRUE
Victreebel,VICTREEBEL,80,115,70,70,110,75,520,TYPE_GRASS,TYPE_POISON,GROWTH_MEDIUM_SLOW,NONE,NONE,0,TRUE
Tentacool,TENTACOOL,40,40,35,70,0,100,285,TYPE_WATER,TYPE_POISON,GROWTH_MEDIUM_FAST,TENTACRUEL,EVO_LEVEL,30,TRUE
Tentacruel,TENTACRUEL,80,70,65,100,0,120,435,TYPE_WATER,TYPE_POISON,GROWTH_MEDIUM_FAST,NONE,NONE,0,TRUE
Geodude,GEODUDE,40,80,100,20,30,30,300,TYPE_ROCK,TYPE_GROUND,GROWTH_MEDIUM_SLOW,GRAVELER,EVO_LEVEL,25,TRUE
Geodude,GEODUDE,40,80,100,20,30,30,300,TYPE_ROCK,TYPE_GROUND,GROWTH_MEDIUM_SLOW,GEODUDE_ALOLA,EVO_ITEM,ITEM_LINKING_CORD,TRUE
Graveler,GRAVELER,55,95,115,35,45,45,390,TYPE_ROCK,TYPE_GROUND,GROWTH_MEDIUM_SLOW,GOLEM,EVO_LEVEL,32,TRUE
Graveler,GRAVELER,55,95,115,35,45,45,390,TYPE_ROCK,TYPE_GROUND,GROWTH_MEDIUM_SLOW,GRAVELER_ALOLA,EVO_ITEM,ITEM_LINKING_CORD,TRUE
Golem,GOLEM,100,110,130,45,55,70,510,TYPE_ROCK,TYPE_GROUND,GROWTH_MEDIUM_SLOW,GOLEM_ALOLA,EVO_ITEM,ITEM_LINKING_CORD,TRUE
Geodude,GEODUDE_ALOLA,40,80,100,20,30,30,300,TYPE_ROCK,TYPE_ELECTRIC,GROWTH_MEDIUM_SLOW,GRAVELER_ALOLA,EVO_LEVEL,25,TRUE
Geodude,GEODUDE_ALOLA,40,80,100,20,30,30,300,TYPE_ROCK,TYPE_ELECTRIC,GROWTH_MEDIUM_SLOW,GEODUDE,EVO_ITEM,ITEM_LINKING_CORD,TRUE
Graveler,GRAVELER_ALOLA,55,95,115,35,45,45,390,TYPE_ROCK,TYPE_ELECTRIC,GROWTH_MEDIUM_SLOW,GOLEM_ALOLA,EVO_LEVEL,32,TRUE
Graveler,GRAVELER_ALOLA,55,95,115,35,45,45,390,TYPE_ROCK,TYPE_ELECTRIC,GROWTH_MEDIUM_SLOW,GRAVELER,EVO_ITEM,ITEM_LINKING_CORD,TRUE
Golem,GOLEM_ALOLA,100,110,130,45,55,70,510,TYPE_ROCK,TYPE_ELECTRIC,GROWTH_MEDIUM_SLOW,GOLEM,EVO_ITEM,ITEM_LINKING_CORD,TRUE
Ponyta,PONYTA,50,85,55,90,65,65,410,TYPE_FIRE,TYPE_FIRE,GROWTH_MEDIUM_FAST,RAPIDASH,EVO_LEVEL,40,TRUE
Rapidash,RAPIDASH,65,100,70,105,80,80,500,TYPE_FIRE,TYPE_FIRE,GROWTH_MEDIUM_FAST,NONE,NONE,0,TRUE
Ponyta,PONYTA_GALAR,50,85,55,90,65,65,410,TYPE_PSYCHIC,TYPE_PSYCHIC,GROWTH_MEDIUM_FAST,RAPIDASH_GALAR,EVO_LEVEL,40,TRUE
Rapidash,RAPIDASH_GALAR,65,100,70,105,80,80,500,TYPE_PSYCHIC,TYPE_FAIRY,GROWTH_MEDIUM_FAST,NONE,NONE,0,TRUE
Slowpoke,SLOWPOKE,90,65,65,15,40,40,315,TYPE_WATER,TYPE_PSYCHIC,GROWTH_MEDIUM_FAST,SLOWBRO,EVO_LEVEL,37,TRUE
Slowpoke,SLOWPOKE,90,65,65,15,40,40,315,TYPE_WATER,TYPE_PSYCHIC,GROWTH_MEDIUM_FAST,SLOWKING,EVO_ITEM,ITEM_KINGS_ROCK,TRUE
Slowpoke,SLOWPOKE,90,65,65,15,40,40,315,TYPE_WATER,TYPE_PSYCHIC,GROWTH_MEDIUM_FAST,SLOWPOKE_GALAR,EVO_ITEM,ITEM_LINKING_CORD,TRUE
Slowbro,SLOWBRO,95,75,110,30,110,90,510,TYPE_WATER,TYPE_PSYCHIC,GROWTH_MEDIUM_FAST,SLOWBRO_GALAR,EVO_ITEM,ITEM_LINKING_CORD,TRUE
Slowking,SLOWKING,95,75,90,30,110,110,510,TYPE_WATER,TYPE_PSYCHIC,GROWTH_MEDIUM_FAST,SLOWKING_GALAR,EVO_ITEM,ITEM_LINKING_CORD,TRUE
Slowpoke,SLOWPOKE_GALAR,90,65,65,15,40,40,315,TYPE_PSYCHIC,TYPE_PSYCHIC,GROWTH_MEDIUM_FAST,SLOWBRO_GALAR,EVO_LEVEL,37,TRUE
Slowpoke,SLOWPOKE_GALAR,90,65,65,15,40,40,315,TYPE_PSYCHIC,TYPE_PSYCHIC,GROWTH_MEDIUM_FAST,SLOWKING_GALAR,EVO_ITEM,ITEM_KINGS_ROCK,TRUE
Slowpoke,SLOWPOKE_GALAR,90,65,65,15,40,40,315,TYPE_PSYCHIC,TYPE_PSYCHIC,GROWTH_MEDIUM_FAST,SLOWPOKE,EVO_ITEM,ITEM_LINKING_CORD,TRUE
Slowbro,SLOWBRO_GALAR,100,105,100,30,105,70,510,TYPE_POISON,TYPE_PSYCHIC,GROWTH_MEDIUM_FAST,SLOWBRO,EVO_ITEM,ITEM_LINKING_CORD,TRUE
Slowking,SLOWKING_GALAR,100,65,85,30,115,115,510,TYPE_POISON,TYPE_PSYCHIC,GROWTH_MEDIUM_FAST,SLOWKING,EVO_ITEM,ITEM_LINKING_CORD,TRUE
Magnemite,MAGNEMITE,25,35,70,45,95,0,270,TYPE_ELECTRIC,TYPE_STEEL,GROWTH_MEDIUM_FAST,MAGNETON,EVO_LEVEL,30,TRUE
Magneton,MAGNETON,60,60,95,70,120,75,480,TYPE_ELECTRIC,TYPE_STEEL,GROWTH_MEDIUM_FAST,MAGNEZONE,EVO_LEVEL,0,TRUE
Magnezone,MAGNEZONE,70,70,115,60,130,100,545,TYPE_ELECTRIC,TYPE_STEEL,GROWTH_MEDIUM_FAST,NONE,NONE,0,TRUE
Farfetch'd,FARFETCHD,52,90,55,60,58,0,315,TYPE_NORMAL,TYPE_FLYING,GROWTH_MEDIUM_FAST,NONE,NONE,0,FALSE
Farfetch'd,FARFETCHD_GALAR,52,95,55,55,58,62,377,TYPE_FIGHTING,TYPE_FIGHTING,GROWTH_MEDIUM_FAST,SIRFETCHD,EVO_BATTLE_END,0,FALSE
Sirfetch'd,SIRFETCHD,62,135,95,65,68,82,507,TYPE_FIGHTING,TYPE_FIGHTING,GROWTH_MEDIUM_FAST,NONE,NONE,0,FALSE
Doduo,DODUO,35,85,45,75,35,35,310,TYPE_NORMAL,TYPE_FLYING,GROWTH_MEDIUM_FAST,DODRIO,EVO_LEVEL,31,TRUE
Dodrio,DODRIO,60,110,70,110,60,60,470,TYPE_FIGHTING,TYPE_FLYING,GROWTH_MEDIUM_FAST,NONE,NONE,0,TRUE
Seel,SEEL,65,45,55,45,0,70,280,TYPE_WATER,TYPE_WATER,GROWTH_MEDIUM_FAST,DEWGONG,EVO_LEVEL,34,FALSE
Dewgong,DEWGONG,90,70,80,70,0,95,405,TYPE_WATER,TYPE_ICE,GROWTH_MEDIUM_FAST,NONE,NONE,0,FALSE
Grimer,GRIMER,80,80,50,25,40,0,275,TYPE_POISON,TYPE_POISON,GROWTH_MEDIUM_FAST,MUK,EVO_LEVEL,38,TRUE
Grimer,GRIMER,80,80,50,25,40,0,275,TYPE_POISON,TYPE_POISON,GROWTH_MEDIUM_FAST,MUK_ALOLA,EVO_ITEM,ITEM_LINKING_CORD,TRUE
Muk,MUK,105,105,75,50,65,0,400,TYPE_POISON,TYPE_POISON,GROWTH_MEDIUM_FAST,MUK_ALOLA,EVO_ITEM,ITEM_LINKING_CORD,TRUE
Grimer,GRIMER_ALOLA,80,80,50,25,40,50,325,TYPE_POISON,TYPE_DARK,GROWTH_MEDIUM_FAST,MUK_ALOLA,EVO_LEVEL,38,TRUE
Grimer,GRIMER_ALOLA,80,80,50,25,40,50,325,TYPE_POISON,TYPE_DARK,GROWTH_MEDIUM_FAST,GRIMER,EVO_ITEM,ITEM_LINKING_CORD,TRUE
Muk,MUK_ALOLA,105,105,75,50,65,100,500,TYPE_POISON,TYPE_DARK,GROWTH_MEDIUM_FAST,MUK,EVO_ITEM,ITEM_LINKING_CORD,TRUE
Shellder,SHELLDER,30,65,100,40,45,0,280,TYPE_WATER,TYPE_WATER,GROWTH_ERRATIC,CLOYSTER,EVO_ITEM,ITEM_WATER_STONE,TRUE
Cloyster,CLOYSTER,50,95,180,70,85,0,480,TYPE_WATER,TYPE_ICE,GROWTH_ERRATIC,NONE,NONE,0,TRUE
Gastly,GASTLY,30,35,30,80,100,0,275,TYPE_GHOST,TYPE_POISON,GROWTH_MEDIUM_SLOW,HAUNTER,EVO_LEVEL,25,TRUE
Haunter,HAUNTER,45,50,45,95,115,0,350,TYPE_GHOST,TYPE_POISON,GROWTH_MEDIUM_SLOW,GENGAR,EVO_LEVEL,42,TRUE
Haunter,HAUNTER,45,50,45,95,115,0,350,TYPE_GHOST,TYPE_POISON,GROWTH_MEDIUM_SLOW,GENGAR,EVO_ITEM,ITEM_LINKING_CORD,TRUE
Gengar,GENGAR,60,65,60,110,130,0,425,TYPE_GHOST,TYPE_POISON,GROWTH_MEDIUM_SLOW,NONE,NONE,0,TRUE
Onix,ONIX,35,45,160,70,30,0,340,TYPE_ROCK,TYPE_GROUND,GROWTH_MEDIUM_FAST,STEELIX,EVO_ITEM,ITEM_METAL_COAT,TRUE
